Log_ID,Application_ID,Layer_ID,Status_flag,Execution_time_seconds,Execution_start_time,Execution_end_time,Table_ID,Table_name,Job_ID,Batch_execution_ID,Job_execution_ID,Source_records,Target_records
5828291,111,11101306,S,85,2024-06-26,2024-06-26,1110130600011,dim_enterprise_daily_contract_recognition_derived_end_customer,111000020,57c2a349bb734824a917d7d8708d3fbf,d800d7a780414e74b6a01790c2b1dc97,3561170,3561170
5828287,111,11101306,S,36,2024-06-26,2024-06-26,1110130600008,STAGE_ENTERPRISE_DCR_STEP4_END_USER,111000020,4bf6872d539a408bb24828dc21eff43d,d800d7a780414e74b6a01790c2b1dc97,3561170,3561170
5828286,111,11101306,S,36,2024-06-26,2024-06-26,1110130600007,STAGE_ENTERPRISE_DCR_STEP4_BMT,111000020,68a504d1dc9f444fb3d4a7acab272992,d800d7a780414e74b6a01790c2b1dc97,3561170,3561170
5828285,111,11101306,S,50,2024-06-26,2024-06-26,1110130600009,STAGE_ENTERPRISE_DCR_STEP4_CRM_OPPTY,111000020,ca80f2c1e3c946c2a1e110dd462ea4b6,d800d7a780414e74b6a01790c2b1dc97,3561170,869319
5828284,111,11101306,S,36,2024-06-26,2024-06-26,1110130600010,STAGE_ENTERPRISE_DCR_STEP4_SHIP_SOLD,111000020,3d15ddd753e34a2d80ca56538988ba0e,d800d7a780414e74b6a01790c2b1dc97,3561170,3561170
5828278,111,11101306,S,53,2024-06-26,2024-06-26,1110130600003,STAGE_ENTERPRISE_DCR_STEP2,111000020,6bf14569ef3345a69c579e8678b8c3a0,d800d7a780414e74b6a01790c2b1dc97,3561170,3561170
5828259,111,11101306,S,92,2024-06-26,2024-06-26,1110130600002,DIM_ENTERPRISE_DCR_GO_TO_MARKET_PRE_ECL,111000020,8ae167bcfe274716b18c6503ef9c41cd,d800d7a780414e74b6a01790c2b1dc97,3561170,50652
5828238,111,11101306,S,113,2024-06-26,2024-06-26,1110130600001,STAGE_ENTERPRISE_DAILY_CONTRACT_RECOGNITION,111000020,3a0a3c16249a4e758b431a6e45dd3ad0,d800d7a780414e74b6a01790c2b1dc97,84950172,50652
5828235,99,9999999,S,770,2024-06-26,2024-06-26,999999900002,Default UOW for Databricks,111000020,798d017e185d4de383da19a119f202f8,d800d7a780414e74b6a01790c2b1dc97,0,0
5828162,111,11101306,S,419,2024-06-26,2024-06-26,1110130600021,fact_enterprise_daily_contract_recognition,111000033,c6e458e5d5a64ac982ceab5519d42e7b,d800d7a780414e74b6a01790c2b1dc97,3791682,84950172
5828152,99,9999999,S,470,2024-06-26,2024-06-26,999999900002,Default UOW for Databricks,111000033,7b35044d4d7b4cff9bae7538720d6bfa,d800d7a780414e74b6a01790c2b1dc97,0,0
5828115,111,11101305,S,56,2024-06-26,2024-06-26,1110130500020,fact_daily_contract_recognition,111000025,3bdd9d2811214c9f9df140b89d130c6f,d800d7a780414e74b6a01790c2b1dc97,50651,50651
5828102,111,11101304,S,52,2024-06-26,2024-06-26,1110130400020,fact_daily_contract_recognition_hist,111000025,3bdd9d2811214c9f9df140b89d130c6f,d800d7a780414e74b6a01790c2b1dc97,50651,50651
5828035,111,11101303,S,290,2024-06-26,2024-06-26,1110130300020,fact_daily_contract_recognition_incr,111000025,3bdd9d2811214c9f9df140b89d130c6f,d800d7a780414e74b6a01790c2b1dc97,50651,50651
5828001,111,11101302,S,69,2024-06-26,2024-06-26,1110130200020,dor_contractual_order,111000025,3bdd9d2811214c9f9df140b89d130c6f,d800d7a780414e74b6a01790c2b1dc97,50651,50651
5827967,111,11101301,S,198,2024-06-26,2024-06-26,1110130100020,lz_dor_contractual_order,111000025,3bdd9d2811214c9f9df140b89d130c6f,d800d7a780414e74b6a01790c2b1dc97,50651,50651
5827950,99,9999999,S,733,2024-06-26,2024-06-26,999999900002,Default UOW for Databricks,111000025,4ddf704fe5a64506aa1d0fb45d56d35f,d800d7a780414e74b6a01790c2b1dc97,0,0
5827791,111,11101308,S,50,2024-06-26,2024-06-26,1110130800578,Fact_Enterprise_Daily_Order_Recognition_Sales_Order_Line_Item_Merged,111013578,e2381ddaa9454058a35114bba1b59680,f80d421ee9e643e0965a6cebcc77526a,36359,36359
5827757,111,11101307,S,129,2024-06-26,2024-06-26,1110130700578,Fact_Enterprise_Daily_Order_Recognition_Sales_Order_Line_Item_Merged,111013578,e2381ddaa9454058a35114bba1b59680,f80d421ee9e643e0965a6cebcc77526a,36359,36359
5827643,111,11101306,S,470,2024-06-26,2024-06-26,1110130600578,Fact_Enterprise_Daily_Order_Recognition_Sales_Order_Line_Item_Merged,111013578,63c5bcb3504c4f11b9d007e225f7de5b,f80d421ee9e643e0965a6cebcc77526a,81173763,81180981
5827639,99,9999999,S,737,2024-06-26,2024-06-26,999999900002,Default UOW for Databricks,111013578,a4d15556624b48d9abd55037f4c152c3,f80d421ee9e643e0965a6cebcc77526a,0,0
5827587,111,11101305,S,354,2024-06-26,2024-06-26,1110130500541,Fact_Enterprise_Daily_Order_Recognition_Sales_Order_Line_Item,111013542,a41af2c281e7424cabec53a4645d11fd,f80d421ee9e643e0965a6cebcc77526a,36359,36359
5827548,111,11101306,S,319,2024-06-26,2024-06-26,1110130600687,orders_and_shipments.Fact_Enterprise_Sales_Order_Shipment_Line_Item_Merged,111013587,be314e32f48d4552af71a63f12fa26e3,c6a0d1dcd3574205b1fb2847a5885a30,853122,882485792
5827492,111,11101308,S,250,2024-06-26,2024-06-26,1110130800587,orders_and_shipments.Fact_Enterprise_Sales_Order_Shipment_Line_Item_Merged,111013587,46da316bcacf405699664117686c893a,c6a0d1dcd3574205b1fb2847a5885a30,853122,853122
5827482,111,11101308,S,274,2024-06-26,2024-06-26,1110130800577,Fact_Enterprise_Shipment_Pricing_Condition_Merged,111013577,da0bc65a7f034f96bea5840ab3adebc1,71e8b0b68b6b4c378e5aaeb5ad30f6ab,3532455,3532455
5827463,111,11101306,S,518,2024-06-26,2024-06-26,1110130600675,Fact_Enterprise_Sales_Order_Line_Item_Merged,111013575,83c8cdd0f1334f9e92882e85cb1b7c7b,7bec91db0f3d467a88417aadf059c1ea,1490297,1334473245
5827437,111,11101304,S,496,2024-06-26,2024-06-26,1110130400541,Fact_Enterprise_Daily_Order_Recognition_Sales_Order_Line_Item_Hist,111013542,a41af2c281e7424cabec53a4645d11fd,f80d421ee9e643e0965a6cebcc77526a,36359,36359
5827431,111,11101306,S,346,2024-06-26,2024-06-26,1110130600687,orders_and_shipments.Fact_Enterprise_Sales_Order_Shipment_Line_Item_Merged,111013587,be314e32f48d4552af71a63f12fa26e3,c6a0d1dcd3574205b1fb2847a5885a30,0,0
5827430,111,11101307,S,84,2024-06-26,2024-06-26,1110130700616,orders_and_shipments.Fact_Enterprise_Sales_Order_Shipment_Line_Item_Finance_Common_Dimension_Daily_Aggregate_BeforeMergeLoad    ,111013587,7cdfaf2faa794ef0840070897ebb5108,c6a0d1dcd3574205b1fb2847a5885a30,122480,122480
5827429,111,11101307,S,164,2024-06-26,2024-06-26,1110130700587,Fact_Enterprise_Sales_Order_Shipment_Line_Item_Merged,111013587,46da316bcacf405699664117686c893a,c6a0d1dcd3574205b1fb2847a5885a30,853122,853122
5827428,111,11101307,S,86,2024-06-26,2024-06-26,1110130700617,orders_and_shipments.Fact_Enterprise_Sales_Order_Shipment_Line_Item_Finance_Daily_Aggregate_BeforeMergeLoad    ,111013587,364fddea452b4b1cb6da37af220a4256,c6a0d1dcd3574205b1fb2847a5885a30,130798,130798
5827427,99,9999999,S,905,2024-06-26,2024-06-26,999999900002,Default UOW for Databricks,111013542,1e07c32eb49c4852967f5e6f67e44175,f80d421ee9e643e0965a6cebcc77526a,0,0
5827417,111,11101307,S,164,2024-06-26,2024-06-26,1110130700577,Fact_Enterprise_Shipment_Pricing_Condition_Merged,111013577,da0bc65a7f034f96bea5840ab3adebc1,71e8b0b68b6b4c378e5aaeb5ad30f6ab,3532455,3532455
5827416,111,11101306,S,525,2024-06-26,2024-06-26,1110130600677,Fact_Enterprise_Shipment_Pricing_Condition_Merged,111013577,1e367640a66b43019665f76004a33ecf,71e8b0b68b6b4c378e5aaeb5ad30f6ab,3532455,4956862999
5827395,111,11101308,S,556,2024-06-26,2024-06-26,1110130800576,Fact_Enterprise_Sales_Order_Pricing_Condition_Merged,111013576,a2e18b246b304e54b00302737c0b6df4,b172798766204b568927428854c65001,6652913,6652913
5827360,111,11101308,S,417,2024-06-26,2024-06-26,1110130800575,orders_and_shipments.Fact_Enterprise_Sales_Order_Line_Item_Merged,111013575,745a663c341a4ef8ad4ef53d4806289f,7bec91db0f3d467a88417aadf059c1ea,1490297,1490297
5827321,111,11101306,S,937,2024-06-26,2024-06-26,1110130600676,Fact_Enterprise_Sales_Order_Pricing_Condition_Merged,111013576,49557f24a1434e51bb4aecc9eae3ff06,b172798766204b568927428854c65001,6652913,5177669533
5827320,111,11101307,S,137,2024-06-26,2024-06-26,1110130700576,Fact_Enterprise_Sales_Order_Pricing_Condition_Merged,111013576,a2e18b246b304e54b00302737c0b6df4,b172798766204b568927428854c65001,6652913,6652913
5827304,111,11101306,S,407,2024-06-26,2024-06-26,1110130600675,Fact_Enterprise_Sales_Order_Line_Item_Merged,111013575,83c8cdd0f1334f9e92882e85cb1b7c7b,7bec91db0f3d467a88417aadf059c1ea,0,0
5827302,111,11101307,S,214,2024-06-26,2024-06-26,1110130700614,orders_and_shipments.Fact_Enterprise_Sales_Order_Line_Item_Finance_Common_Dimension_Daily_Aggregate_BeforeMergeLoad    ,111013575,38ba9b8f03de42e69693fc96fd81da46,7bec91db0f3d467a88417aadf059c1ea,673951,673951
5827300,111,11101307,S,150,2024-06-26,2024-06-26,1110130700575,Fact_Enterprise_Sales_Order_Line_Item_Merged,111013575,745a663c341a4ef8ad4ef53d4806289f,7bec91db0f3d467a88417aadf059c1ea,1490297,1490297
5827299,111,11101307,S,150,2024-06-26,2024-06-26,1110130700615,orders_and_shipments.Fact_Enterprise_Sales_Order_Line_Item_Finance_Daily_Aggregate_BeforeMergeLoad    ,111013575,09f6659fc2684380811e65cab82ff994,7bec91db0f3d467a88417aadf059c1ea,441569,441569
5827152,111,11101306,S,788,2024-06-26,2024-06-26,1110130600587,orders_and_shipments.Fact_Enterprise_Sales_Order_Shipment_Line_Item_Merged,111013587,ae731528ece14ca3820a3f5da76dd644,c6a0d1dcd3574205b1fb2847a5885a30,651565,853122
5827149,111,11101306,S,776,2024-06-26,2024-06-26,1110130600577,Fact_Enterprise_Shipment_Pricing_Condition_Merged,111013577,d1ecc8be35b249d4a6abb3be25f75035,71e8b0b68b6b4c378e5aaeb5ad30f6ab,3502365,3532455
5827141,99,9999999,S,1604,2024-06-26,2024-06-26,999999900002,Default UOW for Databricks,111013587,845c9644e1ff4ebabba07c58658f7c0c,c6a0d1dcd3574205b1fb2847a5885a30,0,0
5827127,99,9999999,S,1443,2024-06-26,2024-06-26,999999900002,Default UOW for Databricks,111013577,449ef42268a7469c96ba244eb4f27473,71e8b0b68b6b4c378e5aaeb5ad30f6ab,0,0
5827092,111,11101306,S,894,2024-06-26,2024-06-26,1110130600576,Fact_Enterprise_Sales_Order_Pricing_Condition_Merged,111013576,fe255a50411047589ff439c953af876d,b172798766204b568927428854c65001,6652909,6652913
5827091,111,11101305,S,1174,2024-06-26,2024-06-26,1110130500886,DIM_ENTERPRISE_DAILY_ORDER_RECOGNITION_SALES_ORDER_DETAIL_GO_TO_MARKET,111013735,fadd5efd64784f419ed255a2003ff5c7,f80d421ee9e643e0965a6cebcc77526a,36359,36359
5827079,99,9999999,S,1966,2024-06-26,2024-06-26,999999900002,Default UOW for Databricks,111013576,57a0d2cf9c5f4ed98cb38527f4a25be1,b172798766204b568927428854c65001,0,0
5827077,111,11101306,S,875,2024-06-26,2024-06-26,1110130600575,orders_and_shipments.Fact_Enterprise_Sales_Order_Line_Item_Merged,111013575,718e2cc7bd4743b6a4d81fe0cb40ee40,7bec91db0f3d467a88417aadf059c1ea,1490293,1490297
5827074,99,9999999,S,1938,2024-06-26,2024-06-26,999999900002,Default UOW for Databricks,111013575,501a710b90c44e32b4c793727ea8fe81,7bec91db0f3d467a88417aadf059c1ea,0,0
5827008,111,11101304,S,625,2024-06-26,2024-06-26,1110130400886,DIM_ENTERPRISE_DAILY_ORDER_RECOGNITION_SALES_ORDER_DETAIL_DERIVED_END_CUSTOMER_HIST,111013735,fadd5efd64784f419ed255a2003ff5c7,f80d421ee9e643e0965a6cebcc77526a,3997026,931597221
5826985,111,11101303,S,141,2024-06-26,2024-06-26,1110130300886,Dim_Enterprise_Daily_Order_Recognition_Sales_Order_Detail_Go_To_Market_incr,111013735,fadd5efd64784f419ed255a2003ff5c7,f80d421ee9e643e0965a6cebcc77526a,3997026,948917072
5826944,111,11101306,S,158,2024-06-26,2024-06-26,1110130600885,DIM_ENTERPRISE_SALES_ORDER_DETAIL_GO_TO_MARKET_PRE_ECL_DOR,111013735,539bf49924ed4dcfad6517c69776160a,f80d421ee9e643e0965a6cebcc77526a,81283129,3997026
5826734,111,11101305,S,930,2024-06-26,2024-06-26,1110130500884,DIM_ENTERPRISE_DAILY_ORDER_RECOGNITION_SALES_ORDER_DETAIL_DERIVED_END_CUSTOMER,111013735,9ea8a4be7b094ab5886e3c3c1bc81fc2,f80d421ee9e643e0965a6cebcc77526a,36359,36359
5826676,111,11101304,S,429,2024-06-26,2024-06-26,1110130400884,DIM_ENTERPRISE_DAILY_ORDER_RECOGNITION_SALES_ORDER_DETAIL_DERIVED_END_CUSTOMER_HIST,111013735,9ea8a4be7b094ab5886e3c3c1bc81fc2,f80d421ee9e643e0965a6cebcc77526a,3997026,979623557
5826630,111,11101303,S,152,2024-06-26,2024-06-26,1110130300884,DIM_ENTERPRISE_DAILY_ORDER_RECOGNITION_SALES_ORDER_DETAIL_DERIVED_END_CUSTOMER_INCR,111013735,9ea8a4be7b094ab5886e3c3c1bc81fc2,f80d421ee9e643e0965a6cebcc77526a,3997026,954732584
5826611,111,11101306,S,21,2024-06-26,2024-06-26,1110130600883,STAGE_ENTERPRISE_SALES_ORDER_LINE_ITEM_STEP4_6_DOR,111013735,e87845ae60b246ddb76c2fad43e4c359,f80d421ee9e643e0965a6cebcc77526a,3997026,3997026
5826603,111,11101306,S,33,2024-06-26,2024-06-26,1110130600882,STAGE_ENTERPRISE_SALES_ORDER_LINE_ITEM_STEP4_3_DOR,111013735,c988318f575f4101b1c742a478759542,f80d421ee9e643e0965a6cebcc77526a,3997026,3997026
5826595,111,11101306,S,20,2024-06-26,2024-06-26,1110130600881,STAGE_ENTERPRISE_SALES_ORDER_LINE_ITEM_STEP4_1_DOR,111013735,68f0f032188046be84a7908f04e105b0,f80d421ee9e643e0965a6cebcc77526a,3997026,3997026
5826579,111,11101306,S,43,2024-06-26,2024-06-26,1110130600880,STAGE_ENTERPRISE_SALES_ORDER_LINE_ITEM_STEP4_0_DOR,111013735,db2622e48f784266aae0e816acf37f81,f80d421ee9e643e0965a6cebcc77526a,3997026,3997026
5826566,111,11101306,S,81,2024-06-26,2024-06-26,1110130600879,STAGE_ENTERPRISE_SALES_ORDER_LINE_ITEM_STEP2_DOR,111013735,e4499b6a9aaf4480b09e9de78cb5e5e4,f80d421ee9e643e0965a6cebcc77526a,3997026,3997026
5826542,111,11101306,S,177,2024-06-26,2024-06-26,1110130600878,DIM_ENTERPRISE_SALES_ORDER_DETAIL_GO_TO_MARKET_PRE_ECL_DOR,111013735,66c929330ef74974b676cac6567679a9,f80d421ee9e643e0965a6cebcc77526a,3785587484,245042
5826447,111,11101306,S,806,2024-06-26,2024-06-26,1110130600877,STAGE_ENTERPRISE_SALES_ORDER_LINE_ITEM_DOR,111013735,3adc9c79f15049bfaf6f28d591a58a7d,f80d421ee9e643e0965a6cebcc77526a,81137404,36359
5826441,99,9999999,S,5240,2024-06-26,2024-06-26,999999900002,Default UOW for Databricks,111013735,7886e98ffb7844849b1f5de7dbe51970,f80d421ee9e643e0965a6cebcc77526a,0,0
5826384,111,11101306,S,488,2024-06-26,2024-06-26,1110130600541,Fact_Enterprise_Daily_Order_Recognition_Sales_Order_Line_Item_TZ,111013541,33bc13b3bed842a3838f7e47fafb5b17,f80d421ee9e643e0965a6cebcc77526a,22896710,81137404
5826377,99,9999999,S,531,2024-06-26,2024-06-26,999999900002,Default UOW for Databricks,111013541,9f3b5b2095744492a1dca54d3f554b17,f80d421ee9e643e0965a6cebcc77526a,0,0
5826344,111,11101304,S,71,2024-06-26,2024-06-26,1110130400524,Fact_Daily_Order_Recognition_Hist,111013524,a3950962e623420398b295e060093588,f80d421ee9e643e0965a6cebcc77526a,36359,36359
5826296,111,11101303,S,96,2024-06-26,2024-06-26,1110130300524,Fact_Daily_Order_Recognition_Incr,111013524,a3950962e623420398b295e060093588,f80d421ee9e643e0965a6cebcc77526a,36359,36359
5826285,99,9999999,S,231,2024-06-26,2024-06-26,999999900002,Default UOW for Databricks,111013524,c8200776d4614f90a90c68434f8e91d0,f80d421ee9e643e0965a6cebcc77526a,0,0
5826163,111,11101308,S,145,2024-06-26,2024-06-26,1110130800002,orders_and_shipments.fact_enterprise_daily_contract_recognition_merged,111000022,ce8feb65a74c49449e9ce2ecd0cf5da6,ce57c0b6e4c542a396f0413bd8938dc5,1327132,1327132
